conv_id,query_id,query_text,retrieved_message_uid,rank,score,retriever
c1,0,What is the main topic of discussion?,c1_56,1,0.36488470435142517,dense
c1,0,What is the main topic of discussion?,c1_6,2,0.3501591682434082,dense
c1,0,What is the main topic of discussion?,c1_10,3,0.3444365859031677,dense
c1,0,What is the main topic of discussion?,c1_60,4,0.3296356797218323,dense
c1,0,What is the main topic of discussion?,c1_27,5,0.3296356797218323,dense
c1,1,What are the key points being discussed?,c1_33,1,0.37124669551849365,dense
c1,1,What are the key points being discussed?,c1_60,2,0.35996803641319275,dense
c1,1,What are the key points being discussed?,c1_27,3,0.35996803641319275,dense
c1,1,What are the key points being discussed?,c1_36,4,0.35996803641319275,dense
c1,1,What are the key points being discussed?,c1_38,5,0.35996803641319275,dense
c1,2,What decisions were made?,c1_4,1,0.19726377725601196,dense
c1,2,What decisions were made?,c1_1,2,0.19261521100997925,dense
c1,2,What decisions were made?,c1_38,3,0.1858321726322174,dense
c1,2,What decisions were made?,c1_27,4,0.1858321726322174,dense
c1,2,What decisions were made?,c1_36,5,0.1858321726322174,dense
c1,3,What concerns were raised?,c1_33,1,0.3770967721939087,dense
c1,3,What concerns were raised?,c1_43,2,0.3587604761123657,dense
c1,3,What concerns were raised?,c1_16,3,0.3587604761123657,dense
c1,3,What concerns were raised?,c1_39,4,0.3587604761123657,dense
c1,3,What concerns were raised?,c1_20,5,0.3587604761123657,dense
c1,4,What is the recommended approach?,c1_8,1,0.42024171352386475,dense
c1,4,What is the recommended approach?,c1_19,2,0.4169856905937195,dense
c1,4,What is the recommended approach?,c1_11,3,0.41415053606033325,dense
c1,4,What is the recommended approach?,c1_3,4,0.4092472195625305,dense
c1,4,What is the recommended approach?,c1_15,5,0.3972288966178894,dense
c10,0,What is the main topic of discussion?,c10_50,1,0.37895551323890686,dense
c10,0,What is the main topic of discussion?,c10_55,2,0.3437265157699585,dense
c10,0,What is the main topic of discussion?,c10_65,3,0.32690104842185974,dense
c10,0,What is the main topic of discussion?,c10_40,4,0.32690104842185974,dense
c10,0,What is the main topic of discussion?,c10_49,5,0.32690104842185974,dense
c10,1,What are the key points being discussed?,c10_61,1,0.4035790264606476,dense
c10,1,What are the key points being discussed?,c10_38,2,0.3825116753578186,dense
c10,1,What are the key points being discussed?,c10_33,3,0.37189680337905884,dense
c10,1,What are the key points being discussed?,c10_60,4,0.35685810446739197,dense
c10,1,What are the key points being discussed?,c10_25,5,0.3471549451351166,dense
c10,2,What decisions were made?,c10_24,1,0.2126387655735016,dense
c10,2,What decisions were made?,c10_66,2,0.2081318497657776,dense
c10,2,What decisions were made?,c10_33,3,0.20500634610652924,dense
c10,2,What decisions were made?,c10_51,4,0.19566163420677185,dense
c10,2,What decisions were made?,c10_47,5,0.19566163420677185,dense
c10,3,What concerns were raised?,c10_67,1,0.23416782915592194,dense
c10,3,What concerns were raised?,c10_26,2,0.23416782915592194,dense
c10,3,What concerns were raised?,c10_63,3,0.23416782915592194,dense
c10,3,What concerns were raised?,c10_9,4,0.22903771698474884,dense
c10,3,What concerns were raised?,c10_27,5,0.22885705530643463,dense
c10,4,What is the recommended approach?,c10_66,1,0.24864892661571503,dense
c10,4,What is the recommended approach?,c10_16,2,0.19329768419265747,dense
c10,4,What is the recommended approach?,c10_33,3,0.18424302339553833,dense
c10,4,What is the recommended approach?,c10_28,4,0.18273252248764038,dense
c10,4,What is the recommended approach?,c10_1,5,0.1763080358505249,dense
c11,0,What is the main topic of discussion?,c11_36,1,0.3629103899002075,dense
c11,0,What is the main topic of discussion?,c11_5,2,0.3367421627044678,dense
c11,0,What is the main topic of discussion?,c11_49,3,0.33284929394721985,dense
c11,0,What is the main topic of discussion?,c11_6,4,0.33284929394721985,dense
c11,0,What is the main topic of discussion?,c11_18,5,0.33284929394721985,dense
c11,1,What are the key points being discussed?,c11_6,1,0.5155107975006104,dense
